Participant ID,Nouns/Predicates,TrialNEW,List,Nr,Condition,PredType,AnswerType,Word1,Word2,Rating
1,Nouns,92,4,2,4,A,DiffPred,slaaf,slaaf,300
1,Nouns,93,3,6,3,A,DiffPred,bezoeker,bezoeker,297
1,Nouns,94,2,2,4,A,DiffSubj,slaaf,meester,108
1,Nouns,95,2,7,4,A,DiffSubj,activist,moordenaar,-75
1,Nouns,96,3,2,4,A,DiffSubj,dirigent,brandweerman,-216
1,Predicates,1,3,8,2,V,DiffPred,springt,valt,69
1,Predicates,2,4,1,4,A,DiffPred,onbeleefde,botte,174
1,Predicates,3,4,8,4,V,DiffSubj,veroordeelt,veroordeelt,300
1,Predicates,4,3,2,1,A,DiffPred,sterke,zwakke,-132
1,Predicates,5,2,3,1,V,DiffPred,luistert,zingt,-195
1,Predicates,6,1,8,2,V,DiffSubj,danst,danst,300
1,Predicates,7,1,1,1,A,DiffSubj,rode,rode,300
1,Predicates,8,2,2,1,V,DiffPred,onderzoekt,controleert,-96
1,Predicates,9,4,6,4,A,DiffPred,doffe,nieuwe,-141
1,Predicates,10,2,3,4,V,DiffPred,zit,bakt,-288
1,Predicates,11,3,6,3,A,DiffPred,kwaadaardige,bedrieglijke,180
1,Predicates,12,3,7,4,V,DiffSubj,vermoordt,vermoordt,300
1,Predicates,13,2,7,1,A,DiffSubj,leuke,leuke,300
1,Predicates,14,1,6,4,A,DiffSubj,doffe,doffe,300
1,Predicates,15,3,7,1,V,DiffPred,verstuurt,ontvangt,-213
1,Predicates,16,3,3,2,V,DiffSubj,besproeit,besproeit,300
1,Predicates,17,2,1,2,V,DiffPred,schildert,bereidt,-264
1,Predicates,18,3,7,3,A,DiffSubj,zwakke,zwakke,300
1,Predicates,19,3,8,2,A,DiffSubj,dove,dove,300
1,Predicates,20,1,2,2,V,DiffPred,fluit,wijst af,-138
1,Predicates,21,2,3,4,V,DiffPred,bakt,zit,-165
1,Predicates,22,4,6,1,A,DiffSubj,geweldige,geweldige,300
1,Predicates,23,2,3,1,A,DiffSubj,bedrieglijke,bedrieglijke,300
1,Predicates,24,3,7,4,V,DiffPred,vermoordt,schrijft,-228
1,Predicates,25,4,6,1,V,DiffPred,betreedt,verlaat,-177
1,Predicates,26,1,8,4,A,DiffSubj,enge,enge,300
1,Predicates,27,4,3,4,V,DiffSubj,wandelt,wandelt,300
1,Predicates,28,4,6,1,A,DiffSubj,fantastische,fantastische,300
1,Predicates,29,1,3,1,V,DiffSubj,hypnotiseert,hypnotiseert,300
1,Predicates,30,2,6,1,A,DiffPred,vermoeide,energieke,-288
1,Predicates,31,3,1,4,A,DiffPred,knappe,dove,-159
1,Predicates,32,3,8,1,A,DiffSubj,ruwe,ruwe,300
1,Predicates,33,3,8,1,A,DiffPred,ruwe,harde,159
1,Predicates,34,4,7,4,A,DiffPred,trage,roze,-243
1,Predicates,35,2,2,1,V,DiffPred,controleert,onderzoekt,-186
